	0	    3.3
	1		3.3
	2		3.3
	3		3.3
	4		3.3
	5		3.3
	6		3.4
	7		3.4
	8		3.4
	9		3.4
	10		3.4
	11		3.4
	12		3.5
	13		3.5
	14		3.5
	15		3.5
	16		3.5
	17		3.5
	18		3.6
	19		3.6
	20		3.6
	21		3.6
	22		3.7
	23		3.7
	24		3.7
	25		3.7
	26		3.8
	27		3.8
	28		3.8
	29		3.9
	30		3.9
	31		3.9
	32		4.0
	33		4.0
	34		4.0
	35		4.1
	36		4.1
	37		4.2
	38		4.2
	39		4.3
	40		4.3
	41		4.4
	42		4.5
	43		4.5
	44		4.6
	45		4.7
	46		4.7
	47		4.8
	48		4.9
	49		5.0
	50		5.1
	51		5.2
	52		5.2
	53		5.2
	54		5.2
	55		5.3
	56		5.3
	57		5.4
	58		5.4
	59		5.4
	60		5.5
	61		5.5
	62		5.6
	63		5.6
	64		5.7
	65		5.7
	66	   	5.8
	67		5.9
	68		6.0
	69		6.0
	70		6.1
	71		6.2
	72		6.3
	73		6.5
	74		6.6
	75		6.7
	76		6.9
	77		7.0
	78		7.2
	79		7.4
	80		7.6
	81		7.8
	82		8.0
	83		8.3
	84		8.6
	85		8.9
	86		9.2
	87		9.5
	88		9.8
	89		10.1
	90 		10.5
